,username,party,mentioned_user,mentioned_party,Label
0,stbrandner, AfD,karl_lauterbach, SPD,NOT
1,stbrandner, AfD,karl_lauterbach, SPD,NOT
2,stbrandner, AfD,rene_springer, AfD,NOT
3,stbrandner, AfD,rene_springer, AfD,NOT
4,stbrandner, AfD,mastrackzi, FDP,NOT
5,stbrandner, AfD,gtzfrmming, AfD,NOT
6,stbrandner, AfD,gtzfrmming, AfD,HOF
7,stbrandner, AfD,gtzfrmming, AfD,NOT
8,stbrandner, AfD,stbrandner, AfD,NOT
9,stbrandner, AfD,joanacotar, fraktionslos,NOT
10,stbrandner, AfD,joanacotar, fraktionslos,HOF
11,stbrandner, AfD,joanacotar, fraktionslos,NOT
12,stbrandner, AfD,joanacotar, fraktionslos,NOT
13,stbrandner, AfD,enricokomning, AfD,NOT
14,stbrandner, AfD,enricokomning, AfD,NOT
15,stbrandner, AfD,c_lindner, FDP,NOT
16,stbrandner, AfD,c_lindner, FDP,NOT
17,stbrandner, AfD,gregorgysi, Die Linke,HOF
18,stbrandner, AfD,rogerbeckamp, AfD,NOT
19,stbrandner, AfD,s_muenzenmaier, AfD,NOT
20,stbrandner, AfD,hannes_gnauck, AfD,NOT
21,stbrandner, AfD,tino_chrupalla, AfD,NOT
22,stbrandner, AfD,tino_chrupalla, AfD,HOF
23,stbrandner, AfD,tino_chrupalla, AfD,HOF
24,stbrandner, AfD,nicole_hoechst, AfD,NOT
25,stbrandner, AfD,nicole_hoechst, AfD,NOT
26,stbrandner, AfD,dietmarbartsch, Die Linke,NOT
27,stbrandner, AfD,dietmarbartsch, Die Linke,NOT
28,stbrandner, AfD,dietmarbartsch, Die Linke,NOT
29,stbrandner, AfD,juergenbraunafd, AfD,NOT
30,stbrandner, AfD,petrbystronafd, AfD,NOT
31,stbrandner, AfD,petrbystronafd, AfD,NOT
32,stbrandner, AfD,peterboehringer, AfD,NOT
33,stbrandner, AfD,maltekaufmann, AfD,NOT
34,stbrandner, AfD,schneider_afd, AfD,NOT
35,stbrandner, AfD,rbrinkhaus, CDU/CSU,HOF
36,stbrandner, AfD,rbrinkhaus, CDU/CSU,NOT
37,stbrandner, AfD,gottfriedcurio, AfD,NOT
38,stbrandner, AfD,janoschdahmen, Bündnis 90/Die Grünen,NOT
39,stbrandner, AfD,smuellermdb, CDU/CSU,NOT
40,stbrandner, AfD,smuellermdb, CDU/CSU,NOT
41,stbrandner, AfD,susannehennig, Die Linke,NOT
42,stbrandner, AfD,petrapaumahe, Die Linke,NOT
43,stbrandner, AfD,mgrossebroemer, CDU/CSU,NOT
44,stbrandner, AfD,mgrossebroemer, CDU/CSU,NOT
45,stbrandner, AfD,jm_luczak, CDU/CSU,NOT
46,stbrandner, AfD,jm_luczak, CDU/CSU,NOT
47,stbrandner, AfD,jm_luczak, CDU/CSU,NOT
48,stbrandner, AfD,jm_luczak, CDU/CSU,NOT
49,stbrandner, AfD,b_riexinger, Die Linke,NOT
50,stbrandner, AfD,b_riexinger, Die Linke,NOT
51,stbrandner, AfD,christianhirte, CDU/CSU,HOF
52,stbrandner, AfD,christianhirte, CDU/CSU,HOF
53,stbrandner, AfD,christianhirte, CDU/CSU,HOF
54,stbrandner, AfD,daniludwigmdb, CDU/CSU,NOT
55,stbrandner, AfD,volkerullrich, CDU/CSU,NOT
56,stbrandner, AfD,volkerullrich, CDU/CSU,NOT
57,stbrandner, AfD,karambadiaby, SPD,NOT
58,stbrandner, AfD,karambadiaby, SPD,NOT
59,stbrandner, AfD,kai_whittaker, CDU/CSU,NOT
60,stbrandner, AfD,otto_fricke, FDP,NOT
61,stbrandner, AfD,otto_fricke, FDP,NOT
62,petrbystronafd, AfD,karl_lauterbach, SPD,NOT
63,petrbystronafd, AfD,karl_lauterbach, SPD,HOF
64,petrbystronafd, AfD,karl_lauterbach, SPD,NOT
65,petrbystronafd, AfD,karl_lauterbach, SPD,NOT
66,petrbystronafd, AfD,karl_lauterbach, SPD,NOT
67,petrbystronafd, AfD,karl_lauterbach, SPD,NOT
68,petrbystronafd, AfD,karl_lauterbach, SPD,NOT
69,petrbystronafd, AfD,karl_lauterbach, SPD,NOT
70,petrbystronafd, AfD,rene_springer, AfD,NOT
