;Unnamed: 0;full_name;party;twitter;username
0;0;Sanae Abdi; SPD;https://twitter.com/abdisanae'];abdisanae
1;1;Valentin Abel; FDP;['https://twitter.com/Valentin_C_Abel'];Valentin_C_Abel
2;2;Knut Abraham; CDU/CSU;[];NA
3;3;Katja Adler; FDP;['https://twitter.com/katjadler'];katjadler
4;4;Stephanie Aeffner; Bündnis 90/Die Grünen;['https://twitter.com/s_aeffner'];s_aeffner
5;5;Adis Ahmetovic; SPD;[];NA
6;6;Gökay Akbulut; Die Linke;['https://twitter.com/akbulutgokay?lang=de'];akbulutgokay
7;7;Ali Al-Dailami; Die Linke;[];NA
8;8;Muhanad Al-Halak; FDP;['https://mobile.twitter.com/halakmuhanad'];halakmuhanad
9;9;Reem Alabali-Radovan; SPD;['https://twitter.com/ReemAlabali'];ReemAlabali
10;10;Stephan Albani; CDU/CSU;[];NA
11;11;Renata Alt; FDP;['https://twitter.com/RenataAlt_MdB'];RenataAlt_MdB
12;12;Norbert Maria Altenkamp; CDU/CSU;['https://twitter.com/NAltenkamp'];NAltenkamp
13;13;Philipp Amthor; CDU/CSU;[];NA
14;14;Luise Amtsberg; Bündnis 90/Die Grünen;[];NA
15;15;Dagmar Andres; SPD;['https://twitter.com/DagmarAndres'];DagmarAndres
16;16;Niels Annen; SPD;['https://twitter.com/NielsAnnen'];NielsAnnen
17;17;Johannes Arlt; SPD;['http://twitter.com/arlt_johannes'];arlt_johannes
18;18;Christine Aschenberg-Dugnus; FDP;['https://twitter.com/cad59?lang=de'];cad59
19;19;Andreas Audretsch; Bündnis 90/Die Grünen;['https://twitter.com/anaudretsch'];anaudretsch
20;20;Artur Auernhammer; CDU/CSU;[];NA
21;21;Peter Aumer; CDU/CSU;[];NA
22;22;Maik Außendorf; Bündnis 90/Die Grünen;['https://twitter.com/maik_aussendorf'];maik_aussendorf
23;23;Tobias Bacherle; Bündnis 90/Die Grünen;['https://twitter.com/tbbacherle'];tbbacherle
24;24;Carolin Bachmann; AfD;[];NA
25;25;Lisa Badum; Bündnis 90/Die Grünen;['https://twitter.com/badulrichmartha'];badulrichmartha
26;26;Heike Baehrens; SPD;[];NA
27;27;Dorothee Bär; CDU/CSU;[];NA
28;28;Karl Bär; Bündnis 90/Die Grünen;['https://twitter.com/karlbaer'];karlbaer
29;29;Annalena Baerbock; Bündnis 90/Die Grünen;['https://www.twitter.com/@Abaerbock'];@Abaerbock
30;30;Ulrike Bahr; SPD;[];NA
31;31;Daniel Baldy; SPD;['http://twitter.com/baldy_daniel'];baldy_daniel
32;32;Felix Banaszak; Bündnis 90/Die Grünen;['https://www.twitter.com/fbanaszak'];fbanaszak
33;33;Nezahat Baradari; SPD;[];NA
34;34;Thomas Bareiß; CDU/CSU;['https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'];Thomas_Bareiss
35;35;Sören Bartol; SPD;[];NA
36;36;Dr. Dietmar Bartsch; Die Linke;['http://www.twitter.com/DietmarBartsch'];DietmarBartsch
37;37;Alexander Bartz; SPD;[];NA
38;38;Bärbel Bas; SPD;['https://twitter.com/baerbelbas'];baerbelbas
39;39;Nicole Bauer; FDP;['http://www.twitter.com/nicole_ae_bauer'];nicole_ae_bauer
40;40;Dr. Christina Baum; AfD;['https://twitter.com/DrChristinaBaum'];DrChristinaBaum
41;41;Dr. Bernd Baumann; AfD;['https://twitter.com/BerndBaumannAfD'];BerndBaumannAfD
42;42;Canan Bayram; Bündnis 90/Die Grünen;['https://twitter.com/LieblingXhain'];LieblingXhain
43;43;Katharina Beck; Bündnis 90/Die Grünen;['https://twitter.com/kathabeck'];kathabeck
44;44;Roger Beckamp; AfD;['https://twitter.com/RogerBeckamp'];RogerBeckamp
45;45;Dr. Holger Becker; SPD;[];NA
46;46;Jens Beeck; FDP;['https://twitter.com/jensbeeck'];jensbeeck
47;47;Lukas Benner; Bündnis 90/Die Grünen;['https://twitter.com/LukasBenner_'];LukasBenner_
48;48;Jürgen Berghahn; SPD;[];NA
49;49;Dr. André Berghegger; CDU/CSU;[];NA
50;50;Bengt Bergt; SPD;['http://twitter.com/Bengtbergt'];Bengtbergt
51;51;Marc Bernhard; AfD;['https://twitter.com/MarcBernhardAfD'];MarcBernhardAfD
52;52;Peter Beyer; CDU/CSU;['https://twitter.com/Peter_Beyer'];Peter_Beyer
53;53;Marc Biadacz; CDU/CSU;['https://twitter.com/MBiadaczMdB'];MBiadaczMdB
54;54;Steffen Bilger; CDU/CSU;['https://twitter.com/steffenbilger'];steffenbilger
55;55;Matthias W. Birkwald; Die Linke;['https://twitter.com/MWBirkwald'];MWBirkwald
56;56;Jakob Blankenburg; SPD;['https://twitter.com/jakobbla'];jakobbla
57;57;Andreas Bleck; AfD;['https://twitter.com/AndreasBleckMdB'];AndreasBleckMdB
58;58;René Bochmann; AfD;[];NA
59;59;Ingo Bodtke; FDP;['http://twitter.com/IngoBodtke'];IngoBodtke
60;60;Peter Boehringer; AfD;['https://twitter.com/PeterBoehringer'];PeterBoehringer
61;61;Friedhelm Boginski; FDP;['https://twitter.com/f_boginski'];f_boginski
62;62;Gereon Bollmann; AfD;[];NA
63;63;Simone Borchardt; CDU/CSU;[];NA
64;64;Michael Brand (Fulda); CDU/CSU;[];NA
65;65;Dr. Jens Brandenburg (Rhein-Neckar); FDP;['https://twitter.com/JBrandenburgFDP'];JBrandenburgFDP
66;66;Mario Brandenburg (Südpfalz); FDP;['https://twitter.com/brafdp'];brafdp
67;67;Dirk Brandes; AfD;[];NA
68;68;Dr. Reinhard Brandl; CDU/CSU;['https://www.twitter.com/reinhardbrandl'];reinhardbrandl
69;69;Stephan Brandner; AfD;['http://www.twitter.com/stbrandner'];stbrandner
70;70;Dr. Franziska Brantner; Bündnis 90/Die Grünen;['https://twitter.com/fbrantner?lang=de'];fbrantner
71;71;Prof. Dr. Helge Braun; CDU/CSU;['https://twitter.com/HBraun'];HBraun
72;72;Jürgen Braun; AfD;['https://twitter.com/JuergenBraunAfD'];JuergenBraunAfD
73;73;Silvia Breher; CDU/CSU;[];NA
74;74;Sebastian Brehm; CDU/CSU;['https://twitter.com/Brehm_inNBGNord'];Brehm_inNBGNord
75;75;Heike Brehmer; CDU/CSU;['https://twitter.com/HeikeBrehmerMdB'];HeikeBrehmerMdB
76;76;Michael Breilmann; CDU/CSU;[];NA
77;77;Leni Breymaier; SPD;['https://twitter.com/lenibreymaier'];lenibreymaier
78;78;Ralph Brinkhaus; CDU/CSU;['http://www.twitter.com/rbrinkhaus'];rbrinkhaus
79;79;Dr. Carsten Brodesser; CDU/CSU;[];NA
80;80;Dr. Marlon Bröhr; CDU/CSU;[];NA
81;81;Agnieszka Brugger; Bündnis 90/Die Grünen;['http://www.twitter.com/agnieszka_mdb'];agnieszka_mdb
82;82;Frank Bsirske; Bündnis 90/Die Grünen;['https://twitter.com/fbsirske'];fbsirske
83;83;Sandra Bubendorfer-Licht; FDP;[];NA
84;84;Katrin Budde; SPD;[];NA
85;85;Marcus Bühl; AfD;['https://twitter.com/Marcus_Buehl'];Marcus_Buehl
86;86;Clara Bünger; Die Linke;['https://www.twitter.com/C_AB_'];C_AB_
87;87;Yannick Bury; CDU/CSU;['https://twitter.com/yannickbury?lang=de'];yannickbury
88;88;Dr. Marco Buschmann; FDP;['https://twitter.com/MarcoBuschmann'];MarcoBuschmann
89;89;Karlheinz Busen; FDP;[];NA
90;90;Petr Bystron; AfD;['https://twitter.com/PetrBystronAfD'];PetrBystronAfD
91;91;Isabel Cademartori; SPD;['https://twitter.com/isacademartori'];isacademartori
92;92;Prof. Dr. Lars Castellucci; SPD;['http://twitter.com/larscastellucci'];larscastellucci
93;93;Dr. Anna Christmann; Bündnis 90/Die Grünen;['https://twitter.com/annachristmann?lang=de'];annachristmann
94;94;Tino Chrupalla; AfD;['https://twitter.com/Tino_Chrupalla'];Tino_Chrupalla
95;95;Gitta Connemann; CDU/CSU;[];NA
