,full_name,party,twitter
0,Sanae Abdi, SPD,['https://twitter.com/abdisanae?lang=de']
1,Valentin Abel, FDP,['https://twitter.com/Valentin_C_Abel']
2,Knut Abraham, CDU/CSU,[]
3,Katja Adler, FDP,['https://twitter.com/katjadler']
4,Stephanie Aeffner, Bündnis 90/Die Grünen,['https://twitter.com/s_aeffner']
5,Adis Ahmetovic, SPD,[]
6,Gökay Akbulut, Die Linke,['https://twitter.com/akbulutgokay?lang=de']
7,Ali Al-Dailami, Die Linke,[]
8,Muhanad Al-Halak, FDP,['https://mobile.twitter.com/halakmuhanad']
9,Reem Alabali-Radovan, SPD,['https://twitter.com/ReemAlabali']
10,Stephan Albani, CDU/CSU,[]
11,Renata Alt, FDP,['https://twitter.com/RenataAlt_MdB']
12,Norbert Maria Altenkamp, CDU/CSU,['https://twitter.com/NAltenkamp']
13,Philipp Amthor, CDU/CSU,[]
14,Luise Amtsberg, Bündnis 90/Die Grünen,[]
15,Dagmar Andres, SPD,['https://twitter.com/DagmarAndres']
16,Niels Annen, SPD,['https://twitter.com/NielsAnnen']
17,Johannes Arlt, SPD,['http://twitter.com/arlt_johannes']
18,Christine Aschenberg-Dugnus, FDP,['https://twitter.com/cad59?lang=de']
19,Andreas Audretsch, Bündnis 90/Die Grünen,['https://twitter.com/anaudretsch']
20,Artur Auernhammer, CDU/CSU,[]
21,Peter Aumer, CDU/CSU,[]
22,Maik Außendorf, Bündnis 90/Die Grünen,['https://twitter.com/maik_aussendorf']
23,Tobias Bacherle, Bündnis 90/Die Grünen,['https://twitter.com/tbbacherle']
24,Carolin Bachmann, AfD,[]
25,Lisa Badum, Bündnis 90/Die Grünen,['https://twitter.com/badulrichmartha']
26,Heike Baehrens, SPD,[]
27,Dorothee Bär, CDU/CSU,[]
28,Karl Bär, Bündnis 90/Die Grünen,['https://twitter.com/karlbaer']
29,Annalena Baerbock, Bündnis 90/Die Grünen,['https://www.twitter.com/@Abaerbock']
30,Ulrike Bahr, SPD,[]
31,Daniel Baldy, SPD,['http://twitter.com/baldy_daniel']
32,Felix Banaszak, Bündnis 90/Die Grünen,['https://www.twitter.com/fbanaszak']
33,Nezahat Baradari, SPD,[]
34,Thomas Bareiß, CDU/CSU,['https://twitter.com/Thomas_Bareiss?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor']
35,Sören Bartol, SPD,[]
36,Dr. Dietmar Bartsch, Die Linke,['http://www.twitter.com/DietmarBartsch']
37,Alexander Bartz, SPD,[]
38,Bärbel Bas, SPD,['https://twitter.com/baerbelbas']
39,Nicole Bauer, FDP,['http://www.twitter.com/nicole_ae_bauer']
40,Dr. Christina Baum, AfD,['https://twitter.com/DrChristinaBaum']
41,Dr. Bernd Baumann, AfD,['https://twitter.com/BerndBaumannAfD']
42,Canan Bayram, Bündnis 90/Die Grünen,['https://twitter.com/LieblingXhain']
43,Katharina Beck, Bündnis 90/Die Grünen,['https://twitter.com/kathabeck']
44,Roger Beckamp, AfD,['https://twitter.com/RogerBeckamp']
45,Dr. Holger Becker, SPD,[]
46,Jens Beeck, FDP,['https://twitter.com/jensbeeck']
47,Lukas Benner, Bündnis 90/Die Grünen,['https://twitter.com/LukasBenner_']
48,Jürgen Berghahn, SPD,[]
49,Dr. André Berghegger, CDU/CSU,[]
50,Bengt Bergt, SPD,['http://twitter.com/Bengtbergt']
51,Marc Bernhard, AfD,['https://twitter.com/MarcBernhardAfD']
52,Peter Beyer, CDU/CSU,['https://twitter.com/Peter_Beyer']
53,Marc Biadacz, CDU/CSU,['https://twitter.com/MBiadaczMdB']
54,Steffen Bilger, CDU/CSU,['https://twitter.com/steffenbilger']
55,Matthias W. Birkwald, Die Linke,['https://twitter.com/MWBirkwald']
56,Jakob Blankenburg, SPD,['https://twitter.com/jakobbla']
57,Andreas Bleck, AfD,['https://twitter.com/AndreasBleckMdB']
58,René Bochmann, AfD,[]
59,Ingo Bodtke, FDP,['http://twitter.com/IngoBodtke']
60,Peter Boehringer, AfD,['https://twitter.com/PeterBoehringer']
61,Friedhelm Boginski, FDP,['https://twitter.com/f_boginski']
62,Gereon Bollmann, AfD,[]
63,Simone Borchardt, CDU/CSU,[]
64,Michael Brand (Fulda), CDU/CSU,[]
65,Dr. Jens Brandenburg (Rhein-Neckar), FDP,['https://twitter.com/JBrandenburgFDP']
66,Mario Brandenburg (Südpfalz), FDP,['https://twitter.com/brafdp']
67,Dirk Brandes, AfD,[]
68,Dr. Reinhard Brandl, CDU/CSU,['https://www.twitter.com/reinhardbrandl']
69,Stephan Brandner, AfD,['http://www.twitter.com/stbrandner']
70,Dr. Franziska Brantner, Bündnis 90/Die Grünen,['https://twitter.com/fbrantner?lang=de']
71,Prof. Dr. Helge Braun, CDU/CSU,['https://twitter.com/HBraun']
72,Jürgen Braun, AfD,['https://twitter.com/JuergenBraunAfD']
73,Silvia Breher, CDU/CSU,[]
74,Sebastian Brehm, CDU/CSU,['https://twitter.com/Brehm_inNBGNord']
75,Heike Brehmer, CDU/CSU,['https://twitter.com/HeikeBrehmerMdB']
76,Michael Breilmann, CDU/CSU,[]
77,Leni Breymaier, SPD,['https://twitter.com/lenibreymaier']
78,Ralph Brinkhaus, CDU/CSU,['http://www.twitter.com/rbrinkhaus']
79,Dr. Carsten Brodesser, CDU/CSU,[]
80,Dr. Marlon Bröhr, CDU/CSU,[]
81,Agnieszka Brugger, Bündnis 90/Die Grünen,['http://www.twitter.com/agnieszka_mdb']
82,Frank Bsirske, Bündnis 90/Die Grünen,['https://twitter.com/fbsirske']
83,Sandra Bubendorfer-Licht, FDP,[]
84,Katrin Budde, SPD,[]
85,Marcus Bühl, AfD,['https://twitter.com/Marcus_Buehl']
86,Clara Bünger, Die Linke,['https://www.twitter.com/C_AB_']
87,Yannick Bury, CDU/CSU,['https://twitter.com/yannickbury?lang=de']
88,Dr. Marco Buschmann, FDP,['https://twitter.com/MarcoBuschmann']
89,Karlheinz Busen, FDP,[]
90,Petr Bystron, AfD,['https://twitter.com/PetrBystronAfD']
91,Isabel Cademartori, SPD,['https://twitter.com/isacademartori']
92,Prof. Dr. Lars Castellucci, SPD,['http://twitter.com/larscastellucci']
93,Dr. Anna Christmann, Bündnis 90/Die Grünen,['https://twitter.com/annachristmann?lang=de']
94,Tino Chrupalla, AfD,['https://twitter.com/Tino_Chrupalla']
95,Gitta Connemann, CDU/CSU,[]
96,Jürgen Coße, SPD,['https://twitter.com/juergencosse']
97,Joana Cotar, fraktionslos,['http://www.twitter.com/JoanaCotar']
98,Carl-Julius Cronenberg, FDP,['https://twitter.com/cjcronenberg']
99,Dr. Gottfried Curio, AfD,['https://twitter.com/GottfriedCurio']
100,Mario Czaja, CDU/CSU,['https://twitter.com/MarioCzaja']
101,Dr. Janosch Dahmen, Bündnis 90/Die Grünen,['https://twitter.com/janoschdahmen']
102,Bernhard Daldrup, SPD,['https://twitter.com/BernhardDaldrup']
103,Astrid Damerow, CDU/CSU,[]
104,Sevim Dağdelen, Die Linke,['https://twitter.com/SevimDagdelen']
105,Dr. Daniela De Ridder, SPD,['https://twitter.com/deridder_mdb?lang=de']
106,Ekin Deligöz, Bündnis 90/Die Grünen,['https://twitter.com/ekindeligoez']
107,Hakan Demir, SPD,['https://twitter.com/HakanDemirNK']
108,Dr. Sandra Detzer, Bündnis 90/Die Grünen,['https://twitter.com/detzer_sandra']
109,Dr. Karamba Diaby, SPD,['https://twitter.com/KarambaDiaby']
110,Martin Diedenhofen, SPD,['https://twitter.com/MDiedenhofen']
111,Jan Dieren, SPD,['https://twitter.com/JanUlrichDieren']
112,Thomas Dietz, AfD,[]
113,Esther Dilcher, SPD,[]
114,Sabine Dittmar, SPD,['https://twitter.com/dittmarsabine']
115,Bijan Djir-Sarai, FDP,['https://twitter.com/DjirSarai']
116,Alexander Dobrindt, CDU/CSU,[]
117,Felix Döring, SPD,[]
118,Anke Domscheit-Berg, Die Linke,['https://twitter.com/anked']
119,Michael Donth, CDU/CSU,[]
120,Katharina Dröge, Bündnis 90/Die Grünen,['https://www.twitter.com/katdro']
121,Falko Droßmann, SPD,[]
122,Deborah Düring, Bündnis 90/Die Grünen,['https://twitter.com/deborahduering?lang=de']
123,Christian Dürr, FDP,['https://twitter.com/christianduerr']
124,Hansjörg Durz, CDU/CSU,[]
125,Harald Ebner, Bündnis 90/Die Grünen,[]
